,,cl,cl,cl,cl,cl
,,count,mean,std,min,max
start,start,,,,,
2005,4,1,109.0,,109.0,109.0
2005,5,1,121.0,,121.0,121.0
2005,7,2,110.0,16.97056274847714,98.0,122.0
2005,8,1,121.0,,121.0,121.0
2005,11,1,118.0,,118.0,118.0
2006,1,1,368.0,,368.0,368.0
2006,2,1,101.0,,101.0,101.0
2006,4,1,107.0,,107.0,107.0
2006,5,1,50.0,,50.0,50.0
2006,6,2,125.0,12.727922061357855,116.0,134.0
2006,7,2,106.5,9.192388155425117,100.0,113.0
2006,8,2,111.0,5.656854249492381,107.0,115.0
2006,10,1,118.0,,118.0,118.0
2006,11,1,112.0,,112.0,112.0
2006,12,1,115.0,,115.0,115.0
2007,1,1,118.0,,118.0,118.0
2007,7,1,90.0,,90.0,90.0
2007,8,3,99.66666666666667,12.096831541082702,86.0,109.0
2007,9,1,116.0,,116.0,116.0
2007,10,2,109.5,4.949747468305833,106.0,113.0
2008,3,1,129.0,,129.0,129.0
2008,4,1,114.0,,114.0,114.0
2008,5,2,113.0,4.242640687119285,110.0,116.0
2008,6,1,121.0,,121.0,121.0
2008,7,2,115.0,1.4142135623730951,114.0,116.0
2008,8,2,140.0,22.627416997969522,124.0,156.0
2008,9,2,121.0,2.8284271247461903,119.0,123.0
2008,10,1,126.0,,126.0,126.0
2008,11,1,126.0,,126.0,126.0
2009,1,1,151.0,,151.0,151.0
2009,2,1,129.0,,129.0,129.0
2009,3,1,121.0,,121.0,121.0
2009,4,2,126.5,9.192388155425117,120.0,133.0
2009,5,2,127.0,0.0,127.0,127.0
2009,6,1,126.0,,126.0,126.0
2009,7,3,116.66666666666667,2.516611478423583,114.0,119.0
2009,8,2,119.5,2.1213203435596424,118.0,121.0
2009,9,3,116.0,7.0,108.0,121.0
2009,10,1,116.0,,116.0,116.0
2009,12,1,125.0,,125.0,125.0
2010,1,1,123.0,,123.0,123.0
2010,2,1,166.0,,166.0,166.0
2010,3,1,129.0,,129.0,129.0
2010,4,2,126.5,7.7781745930520225,121.0,132.0
2010,5,1,115.0,,115.0,115.0
2010,6,1,121.0,,121.0,121.0
2010,7,2,122.0,7.0710678118654755,117.0,127.0
2010,8,2,119.5,6.363961030678928,115.0,124.0
2010,10,1,118.0,,118.0,118.0
2010,11,1,119.0,,119.0,119.0
2010,12,1,108.0,,108.0,108.0
2011,1,1,146.0,,146.0,146.0
2011,2,2,793.0,930.5525240414966,135.0,1451.0
2011,3,1,3309.0,,3309.0,3309.0
2011,5,3,121.33333333333333,7.094598884597589,115.0,129.0
2011,6,2,30.0,4.242640687119285,27.0,33.0
2011,7,1,145.0,,145.0,145.0
2011,8,3,130.66666666666666,20.033305601755625,108.0,146.0
2011,9,2,155.5,3.5355339059327378,153.0,158.0
2011,10,4,142.25,1.7078251276599365,140.0,144.0
2011,11,2,323.0,244.65894629054543,150.0,496.0
2011,12,1,195.0,,195.0,195.0
2012,1,1,245.0,,245.0,245.0
2012,2,1,151.0,,151.0,151.0
2012,3,1,150.0,,150.0,150.0
2012,4,1,150.0,,150.0,150.0
2012,5,2,153.5,6.363961030678928,149.0,158.0
2012,6,2,85.6,85.41849916733494,25.2,146.0
2012,7,3,146.33333333333334,4.041451884327382,144.0,151.0
2012,8,2,144.0,2.8284271247461903,142.0,146.0
2012,9,2,148.0,2.8284271247461903,146.0,150.0
2012,10,2,148.0,1.4142135623730951,147.0,149.0
2012,11,1,157.0,,157.0,157.0
2012,12,1,180.0,,180.0,180.0
2013,2,1,142.0,,142.0,142.0
2013,3,1,210.0,,210.0,210.0
2013,5,1,154.0,,154.0,154.0
2013,6,2,143.05,14.91995308303614,132.5,153.6
2013,7,2,147.55,1.4849242404917358,146.5,148.6
2013,8,2,155.8,2.2627416997969543,154.2,157.4
2013,9,2,148.0,2.262741699796944,146.4,149.6
2013,10,2,150.45,7.848885271170663,144.9,156.0
2013,11,1,138.4,,138.4,138.4
2013,12,1,178.0,,178.0,178.0
2014,1,1,254.6,,254.6,254.6
2014,2,1,2969.5,,2969.5,2969.5
2014,3,1,157.8,,157.8,157.8
2014,4,1,190.0,,190.0,190.0
2014,5,1,143.2,,143.2,143.2
2014,7,1,167.8,,167.8,167.8
2014,8,1,162.2,,162.2,162.2
2014,9,1,154.6,,154.6,154.6
2014,10,1,154.5,,154.5,154.5
2014,11,1,162.7,,162.7,162.7
2014,12,1,163.9,,163.9,163.9
