site_id,runoff_type,sample_type,start,end,cl,cl_sign
crwd-5,Baseflow,Grab,4/13/05 14:15,4/13/05 14:15,109,NA
crwd-5,Baseflow,Composite,5/3/05 13:00,5/4/05 13:20,121,NA
crwd-5,Baseflow,Grab,7/8/05 12:30,7/8/05 12:30,122,NA
crwd-5,Baseflow,Composite,7/14/05 18:56,7/15/05 11:33,98,NA
crwd-5,Baseflow,Composite,8/22/05 13:47,8/24/05 9:41,121,NA
crwd-5,Baseflow,Grab,8/30/05 9:40,8/30/05 9:40,NA,NA
crwd-5,Baseflow,Grab,11/23/05 14:15,11/23/05 14:15,118,NA
crwd-5,Baseflow,Grab,1/12/06 14:20,1/12/06 14:20,368,NA
crwd-5,Baseflow,Grab,2/28/06 10:55,2/28/06 10:55,101,NA
crwd-5,Baseflow,Grab,4/18/06 14:00,4/18/06 14:00,107,NA
crwd-5,Baseflow,Composite,5/25/06 10:22,5/25/06 18:50,50,NA
crwd-5,Baseflow,Grab,6/14/06 11:30,6/14/06 11:30,NA,NA
crwd-5,Baseflow,Composite,6/14/06 11:33,6/15/06 10:14,116,NA
crwd-5,Baseflow,Grab,6/22/06 11:35,6/22/06 11:35,NA,NA
crwd-5,Baseflow,Composite,6/22/06 12:40,6/23/06 9:40,134,NA
crwd-5,Baseflow,Composite,7/6/06 11:57,7/7/06 6:29,113,NA
crwd-5,Baseflow,Grab,7/6/06 12:00,7/6/06 12:00,NA,NA
crwd-5,Baseflow,Grab,7/24/06 11:40,7/24/06 11:40,NA,NA
crwd-5,Baseflow,Composite,7/24/06 12:16,7/24/06 17:59,100,NA
crwd-5,Baseflow,Grab,8/16/06 11:20,8/16/06 11:20,NA,NA
crwd-5,Baseflow,Grab,8/17/06 10:25,8/17/06 10:25,107,NA
crwd-5,Baseflow,Grab,8/30/06 11:15,8/30/06 11:15,NA,NA
crwd-5,Baseflow,Composite,8/30/06 11:51,8/31/06 1:44,115,NA
crwd-5,Storm,Composite,9/23/16 16:17,9/23/16 20:01,15.3,NA
crwd-5,Storm,Grab,8/20/19 10:25,8/20/19 10:25,NA,NA
crwd-5,Storm,Grab,9/12/19 8:45,9/12/19 8:45,NA,NA
crwd-5,Storm,Composite,10/2/19 13:35,10/2/19 18:47,20.4,NA
crwd-5,Storm,Grab,10/21/19 8:25,10/21/19 8:25,NA,NA
crwd-5,Storm,Grab,11/21/19 9:15,11/21/19 9:15,71,NA
crwd-5,Storm,Grab,7/14/20 9:00,7/14/20 9:00,NA,NA
crwd-5,Storm,Grab,3/10/21 11:45,3/10/21 11:45,919,NA
crwd-5,Storm,Grab,3/24/21 8:34,3/24/21 8:34,34.5,NA
crwd-5,Storm,Composite,5/21/21 2:13,5/21/21 8:23,11.3,NA
crwd-5,Storm,Composite,5/25/21 2:49,5/25/21 3:56,19.3,NA
crwd-5,Storm,Composite,5/27/21 6:20,5/28/21 15:25,16.6,NA
crwd-5,Storm,Grab,5/27/21 9:00,5/27/21 9:00,NA,NA
crwd-5,Storm,Composite,7/14/21 13:21,7/14/21 15:51,22,NA
crwd-5,Storm,Composite,8/5/21 21:31,8/5/21 22:43,13,NA
crwd-5,Storm,Composite,8/7/21 5:14,8/7/21 7:22,7.8,NA
crwd-5,Storm,Composite,8/24/21 6:08,8/24/21 7:56,7.6,NA
crwd-5,Storm,Grab,8/24/21 9:25,8/24/21 9:25,NA,NA
